sep,vel,a,r,sep_p,vel_p
3,3,1,-5,7,4
7,4,2,-5,10,3
10,3,2,-5,12,2
12,2,2,-5,13,1
13,1,1,-5,15,2
15,2,2,-5,16,1
16,1,1,-5,18,2
18,2,0,0,20,2
20,2,0,0,22,2
22,2,1,-5,25,3
25,3,0,0,28,3
28,3,2,-5,30,2
30,2,0,0,32,2
32,2,2,-5,33,1
33,1,0,0,34,1
34,1,0,0,35,1
35,1,1,-5,37,2
37,2,1,-5,40,3
40,3,1,-5,44,4
44,4,1,-5,49,5
49,5,2,-5,53,4
53,4,2,-5,56,3
56,3,1,-5,60,4
60,4,2,-5,63,3
63,3,2,-5,65,2
65,2,2,-5,66,1
66,1,0,0,67,1
67,1,2,-5,0,0
70,1,0,0,71,1
71,1,2,-5,71,0
71,0,1,-5,72,1
72,1,2,-5,72,0
72,0,1,-5,73,1
73,1,2,-5,73,0
73,0,2,-5,72,-1
72,-1,1,-5,72,0
72,0,2,-5,71,-1
71,-1,2,-5,69,-2
69,-2,2,-5,66,-3
66,-3,2,-5,62,-4
62,-4,1,-5,59,-3
59,-3,2,-5,55,-4
55,-4,0,0,51,-4
51,-4,2,-5,46,-5
46,-5,2,-5,40,-6
40,-6,0,0,34,-6
34,-6,2,-5,27,-7
27,-7,0,0,20,-7
20,-7,2,-5,12,-8
12,-8,2,-5,3,-9
3,-9,0,0,-6,-9
-6,-9,1,-5,-14,-8
-14,-8,2,-5,-23,-9
-23,-9,1,-5,-31,-8
-31,-8,0,0,-39,-8
-39,-8,2,-5,0,0
-39,-5,0,0,-44,-5
-44,-5,2,-5,-50,-6
-50,-6,1,-5,-55,-5
-55,-5,0,0,-60,-5
-60,-5,1,-5,-64,-4
-64,-4,1,-5,-67,-3
-67,-3,0,0,-70,-3
-70,-3,0,0,-73,-3
-73,-3,1,-5,-75,-2
-75,-2,1,-5,-76,-1
-76,-1,0,0,0,0
-71,3,0,0,-68,3
-68,3,0,0,-65,3
-65,3,0,0,-62,3
-62,3,1,-5,-58,4
-58,4,0,0,-54,4
-54,4,1,-5,-49,5
-49,5,2,-5,-45,4
-45,4,1,-5,-40,5
-40,5,1,-5,-34,6
-34,6,1,-5,-27,7
-27,7,0,0,-20,7
-20,7,0,0,-13,7
-13,7,2,-5,-7,6
-7,6,2,-5,-2,5
-2,5,2,-5,2,4
2,4,1,-5,7,5
7,5,1,-5,13,6
13,6,1,-5,20,7
20,7,1,-5,28,8
28,8,1,-5,37,9
37,9,1,-5,47,10
47,10,1,-5,58,11
58,11,0,0,69,11
69,11,1,-5,81,12
81,12,0,0,93,12
93,12,0,0,105,12
105,12,1,-5,118,13
118,13,0,0,131,13
131,13,1,-5,145,14
145,14,2,-5,158,13
158,13,1,-5,0,0
-29,3,0,0,-26,3
-26,3,2,-5,-24,2
-24,2,1,-5,-21,3
-21,3,0,0,-18,3
-18,3,1,-5,-14,4
-14,4,2,-5,-11,3
-11,3,2,-5,-9,2
-9,2,1,-5,-6,3
-6,3,1,-5,-2,4
-2,4,2,-5,1,3
1,3,2,-5,3,2
3,2,1,-5,6,3
6,3,0,0,9,3
9,3,1,-5,13,4
13,4,2,-5,16,3
16,3,2,-5,18,2
18,2,1,-5,21,3
21,3,0,0,24,3
24,3,0,0,27,3
27,3,1,-5,31,4
31,4,1,-5,36,5
36,5,2,-5,40,4
40,4,0,0,44,4
44,4,2,-5,47,3
47,3,2,-5,49,2
49,2,0,0,51,2
51,2,2,-5,52,1
52,1,2,-5,52,0
52,0,0,0,52,0
52,0,0,0,52,0
52,0,2,-5,51,-1
51,-1,1,-5,51,0
51,0,0,0,51,0
51,0,2,-5,50,-1
50,-1,2,-5,0,0
-66,2,0,0,-64,2
-64,2,1,-5,-61,3
-61,3,1,-5,-57,4
-57,4,2,-5,-54,3
-54,3,2,-5,-52,2
-52,2,2,-5,-51,1
-51,1,1,-5,-49,2
-49,2,0,0,-47,2
-47,2,1,-5,-44,3
-44,3,1,-5,-40,4
-40,4,0,0,-36,4
-36,4,1,-5,-31,5
-31,5,1,-5,-25,6
-25,6,2,-5,-20,5
-20,5,0,0,-15,5
-15,5,2,-5,-11,4
-11,4,1,-5,-6,5
-6,5,1,-5,0,6
0,6,0,0,6,6
6,6,1,-5,13,7
13,7,1,-5,21,8
21,8,1,-5,30,9
30,9,0,0,39,9
39,9,0,0,48,9
48,9,2,-5,56,8
56,8,2,-5,63,7
63,7,1,-5,71,8
71,8,2,-5,78,7
78,7,2,-5,84,6
84,6,2,-5,89,5
89,5,1,-5,95,6
95,6,2,-5,100,5
100,5,0,0,105,5
105,5,0,0,110,5
110,5,1,-5,116,6
116,6,2,-5,121,5
121,5,0,0,126,5
126,5,0,0,131,5
131,5,2,-5,135,4
135,4,0,0,139,4
139,4,2,-5,142,3
142,3,1,-5,146,4
146,4,1,-5,151,5
151,5,1,-5,157,6
157,6,1,-5,164,7
164,7,2,-5,170,6
170,6,1,-5,0,0
-91,-3,0,0,-94,-3
-94,-3,2,-5,-98,-4
-98,-4,1,-5,-101,-3
-101,-3,2,-5,-105,-4
-105,-4,2,-5,-110,-5
-110,-5,2,-5,-116,-6
-116,-6,2,-5,-123,-7
-123,-7,2,-5,-131,-8
-131,-8,1,-5,-138,-7
-138,-7,1,-5,-144,-6
-144,-6,0,0,-150,-6
-150,-6,1,-5,-155,-5
-155,-5,2,-5,-161,-6
-161,-6,2,-5,-168,-7
-168,-7,0,0,-175,-7
-175,-7,1,-5,-181,-6
-181,-6,1,-5,-186,-5
-186,-5,0,0,0,0
-10,3,1,-5,-6,4
-6,4,1,-5,-1,5
-1,5,1,-5,5,6
5,6,1,-5,12,7
12,7,0,0,19,7
19,7,1,-5,27,8
27,8,1,-5,36,9
36,9,0,0,45,9
45,9,0,0,54,9
54,9,1,-5,64,10
64,10,0,0,74,10
74,10,2,-5,83,9
83,9,2,-5,91,8
91,8,1,-5,100,9
100,9,2,-5,108,8
108,8,0,0,116,8
116,8,0,0,124,8
124,8,0,0,132,8
132,8,0,0,140,8
140,8,0,0,148,8
148,8,0,0,0,0
-89,3,2,-5,-87,2
-87,2,2,-5,-86,1
-86,1,0,0,-85,1
-85,1,2,-5,-85,0
-85,0,0,0,-85,0
-85,0,1,-5,-84,1
-84,1,1,-5,-82,2
-82,2,2,-5,-81,1
-81,1,0,0,-80,1
-80,1,2,-5,-80,0
-80,0,1,-5,-79,1
-79,1,0,0,-78,1
-78,1,1,-5,-76,2
-76,2,1,-5,-73,3
-73,3,0,0,-70,3
-70,3,2,-5,-68,2
-68,2,2,-5,-67,1
-67,1,2,-5,-67,0
-67,0,2,-5,-68,-1
-68,-1,1,-5,-68,0
-68,0,1,-5,-67,1
-67,1,0,0,-66,1
-66,1,1,-5,-64,2
-64,2,2,-5,-63,1
-63,1,2,-5,-63,0
-63,0,1,-5,-62,1
-62,1,0,0,-61,1
-61,1,1,-5,-59,2
-59,2,2,-5,-58,1
-58,1,1,-5,-56,2
-56,2,0,0,-54,2
-54,2,0,0,-52,2
-52,2,2,-5,-51,1
-51,1,1,-5,-49,2
-49,2,1,-5,-46,3
-46,3,2,-5,-44,2
-44,2,1,-5,-41,3
-41,3,2,-5,-39,2
-39,2,0,0,-37,2
-37,2,0,0,-35,2
-35,2,2,-5,-34,1
-34,1,2,-5,-34,0
-34,0,1,-5,-33,1
-33,1,1,-5,-31,2
-31,2,1,-5,-28,3
-28,3,0,0,-25,3
-25,3,2,-5,-23,2
-23,2,0,0,-21,2
-21,2,1,-5,-18,3
-18,3,2,-5,-16,2
-16,2,2,-5,-15,1
-15,1,0,0,-14,1
-14,1,1,-5,-12,2
-12,2,0,0,-10,2
-10,2,1,-5,-7,3
-7,3,0,0,-4,3
-4,3,0,0,-1,3
-1,3,0,0,2,3
2,3,1,-5,6,4
6,4,0,0,10,4
10,4,1,-5,15,5
15,5,1,-5,21,6
21,6,0,0,0,0
-63,4,2,-5,-60,3
-60,3,2,-5,-58,2
-58,2,0,0,-56,2
-56,2,1,-5,-53,3
-53,3,2,-5,-51,2
-51,2,0,0,-49,2
-49,2,1,-5,-46,3
-46,3,2,-5,0,0
7,-2,0,0,5,-2
5,-2,2,-5,2,-3
2,-3,2,-5,-2,-4
-2,-4,2,-5,-7,-5
-7,-5,0,0,-12,-5
-12,-5,2,-5,-18,-6
-18,-6,2,-5,-25,-7
-25,-7,2,-5,-33,-8
-33,-8,2,-5,-42,-9
-42,-9,0,0,-51,-9
-51,-9,1,-5,-59,-8
-59,-8,0,0,0,0
103,-4,2,-5,98,-5
98,-5,0,0,93,-5
93,-5,0,0,88,-5
88,-5,1,-5,84,-4
84,-4,1,-5,81,-3
81,-3,0,0,78,-3
78,-3,2,-5,74,-4
74,-4,2,-5,69,-5
69,-5,0,0,64,-5
64,-5,0,0,59,-5
59,-5,0,0,54,-5
54,-5,1,-5,50,-4
50,-4,1,-5,47,-3
47,-3,1,-5,45,-2
45,-2,0,0,43,-2
43,-2,2,-5,40,-3
40,-3,2,-5,36,-4
36,-4,1,-5,33,-3
33,-3,2,-5,29,-4
29,-4,0,0,25,-4
25,-4,2,-5,20,-5
20,-5,2,-5,14,-6
14,-6,0,0,8,-6
8,-6,2,-5,1,-7
1,-7,2,-5,-7,-8
-7,-8,1,-5,-14,-7
-14,-7,1,-5,-20,-6
-20,-6,2,-5,0,0
139,-2,0,0,137,-2
137,-2,2,-5,134,-3
134,-3,1,-5,132,-2
132,-2,2,-5,129,-3
129,-3,2,-5,125,-4
125,-4,2,-5,120,-5
120,-5,2,-5,114,-6
114,-6,2,-5,107,-7
107,-7,1,-5,101,-6
101,-6,0,0,95,-6
95,-6,1,-5,90,-5
90,-5,0,0,85,-5
85,-5,2,-5,79,-6
79,-6,2,-5,72,-7
72,-7,1,-5,66,-6
66,-6,0,0,60,-6
60,-6,1,-5,55,-5
55,-5,0,0,50,-5
50,-5,0,0,45,-5
45,-5,1,-5,41,-4
41,-4,0,0,37,-4
37,-4,0,0,33,-4
33,-4,2,-5,28,-5
28,-5,2,-5,22,-6
22,-6,2,-5,15,-7
15,-7,1,-5,9,-6
9,-6,1,-5,4,-5
4,-5,2,-5,-2,-6
-2,-6,0,0,-8,-6
-8,-6,2,-5,-15,-7
-15,-7,2,-5,-23,-8
-23,-8,0,0,-31,-8
-31,-8,0,0,-39,-8
-39,-8,0,0,-47,-8
-47,-8,2,-5,-56,-9
-56,-9,0,0,-65,-9
-65,-9,1,-5,-73,-8
-73,-8,1,-5,-80,-7
-80,-7,1,-5,-86,-6
-86,-6,0,0,-92,-6
-92,-6,1,-5,-97,-5
-97,-5,0,0,-102,-5
-102,-5,2,-5,-108,-6
-108,-6,2,-5,-115,-7
-115,-7,0,0,-122,-7
-122,-7,0,0,-129,-7
-129,-7,0,0,-136,-7
-136,-7,1,-5,-142,-6
-142,-6,1,-5,0,0
101,3,2,-5,103,2
103,2,0,0,105,2
105,2,0,0,107,2
107,2,2,-5,108,1
108,1,2,-5,108,0
108,0,2,-5,107,-1
107,-1,2,-5,105,-2
105,-2,1,-5,104,-1
104,-1,0,0,103,-1
103,-1,1,-5,103,0
103,0,0,0,103,0
103,0,2,-5,102,-1
102,-1,2,-5,100,-2
100,-2,1,-5,99,-1
99,-1,2,-5,97,-2
97,-2,1,-5,96,-1
96,-1,2,-5,0,0
7,-3,0,0,4,-3
4,-3,2,-5,0,-4
0,-4,1,-5,-3,-3
-3,-3,2,-5,-7,-4
-7,-4,1,-5,-10,-3
-10,-3,2,-5,-14,-4
-14,-4,2,-5,-19,-5
-19,-5,1,-5,-23,-4
-23,-4,1,-5,-26,-3
-26,-3,0,0,-29,-3
-29,-3,1,-5,-31,-2
-31,-2,2,-5,-34,-3
-34,-3,1,-5,-36,-2
-36,-2,2,-5,-39,-3
-39,-3,1,-5,-41,-2
-41,-2,2,-5,-44,-3
-44,-3,1,-5,-46,-2
-46,-2,1,-5,-47,-1
-47,-1,2,-5,-49,-2
-49,-2,0,0,-51,-2
-51,-2,0,0,-53,-2
-53,-2,0,0,-55,-2
-55,-2,0,0,-57,-2
-57,-2,2,-5,-60,-3
-60,-3,1,-5,-62,-2
-62,-2,2,-5,-65,-3
-65,-3,1,-5,-67,-2
-67,-2,1,-5,-68,-1
-68,-1,2,-5,-70,-2
-70,-2,2,-5,-73,-3
-73,-3,1,-5,-75,-2
-75,-2,2,-5,-78,-3
-78,-3,1,-5,-80,-2
-80,-2,1,-5,-81,-1
-81,-1,2,-5,-83,-2
-83,-2,0,0,-85,-2
-85,-2,2,-5,-88,-3
-88,-3,0,0,-91,-3
-91,-3,1,-5,-93,-2
-93,-2,1,-5,-94,-1
-94,-1,2,-5,-96,-2
-96,-2,0,0,-98,-2
-98,-2,0,0,-100,-2
-100,-2,1,-5,-101,-1
-101,-1,1,-5,-101,0
-101,0,0,0,-101,0
-101,0,2,-5,-102,-1
-102,-1,2,-5,-104,-2
-104,-2,2,-5,-107,-3
-107,-3,2,-5,-111,-4
-111,-4,1,-5,-114,-3
-114,-3,2,-5,0,0
-99,4,0,0,-95,4
-95,4,0,0,-91,4
-91,4,0,0,-87,4
-87,4,1,-5,-82,5
-82,5,2,-5,-78,4
-78,4,2,-5,-75,3
-75,3,1,-5,-71,4
-71,4,1,-5,-66,5
-66,5,2,-5,-62,4
-62,4,0,0,-58,4
-58,4,0,0,-54,4
-54,4,0,0,-50,4
-50,4,1,-5,-45,5
-45,5,1,-5,-39,6
-39,6,0,0,-33,6
-33,6,1,-5,-26,7
-26,7,0,0,-19,7
-19,7,1,-5,-11,8
-11,8,2,-5,-4,7
-4,7,2,-5,2,6
2,6,2,-5,7,5
7,5,0,0,12,5
12,5,1,-5,18,6
18,6,0,0,24,6
24,6,0,0,30,6
30,6,1,-5,37,7
37,7,2,-5,43,6
43,6,2,-5,48,5
48,5,2,-5,52,4
52,4,1,-5,57,5
57,5,0,0,62,5
62,5,0,0,67,5
67,5,1,-5,73,6
73,6,1,-5,80,7
80,7,1,-5,88,8
88,8,1,-5,97,9
97,9,1,-5,107,10
107,10,0,0,117,10
117,10,1,-5,128,11
128,11,1,-5,140,12
140,12,0,0,152,12
152,12,1,-5,165,13
165,13,0,0,0,0
-113,-3,0,0,-116,-3
-116,-3,0,0,-119,-3
-119,-3,1,-5,-121,-2
-121,-2,0,0,-123,-2
-123,-2,2,-5,-126,-3
-126,-3,2,-5,-130,-4
-130,-4,2,-5,-135,-5
-135,-5,0,0,-140,-5
-140,-5,2,-5,-146,-6
-146,-6,0,0,0,0
-21,4,0,0,-17,4
-17,4,2,-5,-14,3
-14,3,0,0,-11,3
-11,3,1,-5,-7,4
-7,4,1,-5,-2,5
-2,5,1,-5,4,6
4,6,0,0,10,6
10,6,2,-5,15,5
15,5,0,0,20,5
20,5,2,-5,24,4
24,4,1,-5,29,5
29,5,2,-5,33,4
33,4,2,-5,36,3
36,3,1,-5,40,4
40,4,1,-5,45,5
45,5,1,-5,51,6
51,6,1,-5,58,7
58,7,2,-5,64,6
64,6,1,-5,71,7
71,7,0,0,78,7
78,7,2,-5,84,6
84,6,2,-5,89,5
89,5,0,0,94,5
94,5,0,0,99,5
99,5,0,0,104,5
104,5,0,0,109,5
109,5,1,-5,115,6
115,6,0,0,121,6
121,6,1,-5,128,7
128,7,2,-5,134,6
134,6,1,-5,141,7
141,7,0,0,148,7
148,7,0,0,155,7
155,7,2,-5,0,0
40,2,0,0,42,2
42,2,2,-5,43,1
43,1,2,-5,43,0
43,0,0,0,43,0
43,0,0,0,43,0
43,0,1,-5,44,1
44,1,0,0,45,1
45,1,2,-5,45,0
45,0,0,0,45,0
45,0,1,-5,46,1
46,1,0,0,47,1
47,1,1,-5,49,2
49,2,2,-5,50,1
50,1,2,-5,50,0
50,0,1,-5,51,1
51,1,1,-5,53,2
53,2,0,0,55,2
55,2,0,0,57,2
57,2,1,-5,60,3
60,3,0,0,0,0
13,3,2,-5,15,2
15,2,1,-5,18,3
18,3,2,-5,20,2
20,2,1,-5,23,3
23,3,0,0,26,3
26,3,0,0,29,3
29,3,1,-5,33,4
33,4,1,-5,38,5
38,5,1,-5,44,6
44,6,2,-5,49,5
49,5,0,0,54,5
54,5,1,-5,60,6
60,6,2,-5,65,5
65,5,0,0,70,5
70,5,1,-5,76,6
76,6,0,0,82,6
82,6,0,0,88,6
88,6,1,-5,95,7
95,7,2,-5,101,6
101,6,1,-5,108,7
108,7,0,0,0,0
77,0,1,-5,78,1
78,1,2,-5,78,0
78,0,0,0,78,0
78,0,1,-5,79,1
79,1,1,-5,81,2
81,2,1,-5,84,3
84,3,1,-5,0,0
2,-1,0,0,1,-1
1,-1,1,-5,1,0
1,0,2,-5,0,-1
0,-1,2,-5,-2,-2
-2,-2,1,-5,-3,-1
-3,-1,0,0,-4,-1
-4,-1,1,-5,-4,0
-4,0,0,0,-4,0
-4,0,2,-5,-5,-1
-5,-1,2,-5,-7,-2
-7,-2,2,-5,-10,-3
-10,-3,0,0,-13,-3
-13,-3,0,0,-16,-3
-16,-3,2,-5,-20,-4
-20,-4,1,-5,-23,-3
-23,-3,0,0,-26,-3
-26,-3,2,-5,-30,-4
-30,-4,2,-5,-35,-5
-35,-5,1,-5,-39,-4
-39,-4,0,0,-43,-4
-43,-4,2,-5,-48,-5
-48,-5,2,-5,-54,-6
-54,-6,1,-5,-59,-5
-59,-5,0,0,-64,-5
-64,-5,1,-5,-68,-4
-68,-4,2,-5,-73,-5
-73,-5,0,0,-78,-5
-78,-5,2,-5,-84,-6
-84,-6,1,-5,-89,-5
-89,-5,2,-5,-95,-6
-95,-6,0,0,-101,-6
-101,-6,0,0,-107,-6
-107,-6,2,-5,-114,-7
-114,-7,2,-5,-122,-8
-122,-8,0,0,-130,-8
-130,-8,1,-5,0,0
-155,-4,0,0,-159,-4
-159,-4,0,0,-163,-4
-163,-4,1,-5,-166,-3
-166,-3,0,0,-169,-3
-169,-3,2,-5,-173,-4
-173,-4,0,0,-177,-4
-177,-4,2,-5,-182,-5
-182,-5,2,-5,-188,-6
-188,-6,1,-5,-193,-5
-193,-5,2,-5,0,0
56,0,1,-5,57,1
57,1,2,-5,57,0
57,0,0,0,57,0
57,0,1,-5,58,1
58,1,0,0,59,1
59,1,0,0,60,1
60,1,1,-5,62,2
62,2,2,-5,63,1
63,1,0,0,64,1
64,1,2,-5,64,0
64,0,0,0,64,0
64,0,0,0,64,0
64,0,1,-5,65,1
65,1,1,-5,67,2
67,2,1,-5,70,3
70,3,0,0,73,3
73,3,1,-5,77,4
77,4,0,0,81,4
81,4,1,-5,86,5
86,5,0,0,91,5
91,5,1,-5,97,6
97,6,2,-5,102,5
102,5,1,-5,108,6
108,6,1,-5,115,7
115,7,1,-5,123,8
123,8,2,-5,130,7
130,7,0,0,137,7
137,7,0,0,144,7
144,7,2,-5,150,6
150,6,1,-5,0,0
-111,4,2,-5,-108,3
-108,3,2,-5,-106,2
-106,2,2,-5,-105,1
-105,1,1,-5,-103,2
-103,2,0,0,-101,2
-101,2,1,-5,-98,3
-98,3,0,0,-95,3
-95,3,2,-5,-93,2
-93,2,2,-5,-92,1
-92,1,1,-5,-90,2
-90,2,2,-5,-89,1
-89,1,0,0,-88,1
-88,1,2,-5,-88,0
-88,0,0,0,-88,0
-88,0,0,0,-88,0
-88,0,1,-5,-87,1
-87,1,2,-5,-87,0
-87,0,1,-5,-86,1
-86,1,2,-5,0,0
-112,-3,2,-5,-116,-4
-116,-4,0,0,-120,-4
-120,-4,0,0,-124,-4
-124,-4,2,-5,0,0
-78,-2,0,0,-80,-2
-80,-2,2,-5,-83,-3
-83,-3,0,0,-86,-3
-86,-3,0,0,-89,-3
-89,-3,2,-5,-93,-4
-93,-4,2,-5,-98,-5
-98,-5,1,-5,-102,-4
-102,-4,1,-5,-105,-3
-105,-3,1,-5,-107,-2
-107,-2,2,-5,-110,-3
-110,-3,0,0,-113,-3
-113,-3,1,-5,-115,-2
-115,-2,1,-5,-116,-1
-116,-1,0,0,-117,-1
-117,-1,0,0,-118,-1
-118,-1,1,-5,-118,0
-118,0,2,-5,-119,-1
-119,-1,1,-5,-119,0
-119,0,0,0,-119,0
-119,0,0,0,-119,0
