sep,vel,a,r,sep_p,vel_p
43,1,1,-5,45,2
45,2,1,-5,48,3
48,3,2,-5,50,2
50,2,2,-5,51,1
51,1,1,-5,53,2
53,2,2,-5,54,1
54,1,2,-5,54,0
54,0,0,0,54,0
54,0,2,-5,53,-1
53,-1,1,-5,53,0
53,0,0,0,53,0
53,0,1,-5,54,1
-46,-3,0,0,-49,-3
-49,-3,0,0,-52,-3
-52,-3,2,-5,-56,-4
-56,-4,2,-5,-61,-5
-61,-5,1,-5,-65,-4
-65,-4,0,0,-69,-4
-69,-4,0,0,-73,-4
-73,-4,0,0,-77,-4
-77,-4,0,0,-81,-4
-81,-4,0,0,-85,-4
-85,-4,2,-5,-90,-5
-90,-5,0,0,-95,-5
-95,-5,2,-5,-101,-6
-101,-6,2,-5,-108,-7
-108,-7,2,-5,-116,-8
-116,-8,1,-5,-123,-7
-123,-7,0,0,-130,-7
-130,-7,1,-5,-136,-6
-136,-6,0,0,0,0
35,-1,0,0,34,-1
34,-1,0,0,33,-1
33,-1,0,0,32,-1
32,-1,1,-5,32,0
32,0,2,-5,31,-1
31,-1,0,0,30,-1
30,-1,0,0,29,-1
29,-1,0,0,28,-1
28,-1,1,-5,28,0
28,0,1,-5,29,1
29,1,0,0,30,1
30,1,0,0,31,1
31,1,1,-5,33,2
33,2,0,0,35,2
35,2,0,0,37,2
37,2,2,-5,38,1
38,1,1,-5,40,2
40,2,1,-5,43,3
43,3,0,0,46,3
46,3,1,-5,50,4
50,4,1,-5,55,5
55,5,1,-5,61,6
61,6,1,-5,68,7
68,7,1,-5,76,8
76,8,0,0,84,8
84,8,2,-5,91,7
91,7,1,-5,99,8
99,8,2,-5,106,7
106,7,1,-5,114,8
114,8,1,-5,0,0
50,3,1,-5,54,4
54,4,2,-5,57,3
57,3,1,-5,61,4
61,4,2,-5,64,3
64,3,2,-5,66,2
66,2,2,-5,67,1
67,1,0,0,68,1
68,1,2,-5,68,0
68,0,1,-5,69,1
69,1,2,-5,69,0
69,0,2,-5,68,-1
68,-1,1,-5,68,0
68,0,0,0,68,0
68,0,0,0,68,0
68,0,2,-5,67,-1
67,-1,0,0,66,-1
66,-1,1,-5,66,0
66,0,1,-5,67,1
67,1,0,0,68,1
68,1,2,-5,68,0
68,0,2,-5,0,0
139,-3,1,-5,137,-2
137,-2,2,-5,134,-3
134,-3,0,0,131,-3
131,-3,0,0,128,-3
128,-3,0,0,125,-3
125,-3,2,-5,121,-4
121,-4,0,0,117,-4
117,-4,0,0,113,-4
113,-4,1,-5,110,-3
110,-3,2,-5,106,-4
106,-4,0,0,102,-4
102,-4,0,0,98,-4
98,-4,2,-5,93,-5
93,-5,1,-5,89,-4
89,-4,2,-5,84,-5
84,-5,1,-5,80,-4
80,-4,0,0,76,-4
76,-4,1,-5,73,-3
73,-3,1,-5,71,-2
71,-2,2,-5,68,-3
68,-3,2,-5,64,-4
64,-4,2,-5,59,-5
59,-5,0,0,54,-5
54,-5,2,-5,48,-6
48,-6,0,0,42,-6
42,-6,1,-5,37,-5
37,-5,2,-5,31,-6
31,-6,2,-5,24,-7
24,-7,0,0,17,-7
17,-7,1,-5,11,-6
11,-6,1,-5,6,-5
6,-5,1,-5,2,-4
2,-4,0,0,-2,-4
-2,-4,1,-5,-5,-3
-5,-3,0,0,-8,-3
-8,-3,2,-5,-12,-4
-12,-4,1,-5,-15,-3
-15,-3,1,-5,-17,-2
-17,-2,0,0,-19,-2
-19,-2,1,-5,-20,-1
-20,-1,1,-5,-20,0
-20,0,2,-5,-21,-1
-21,-1,2,-5,-23,-2
-23,-2,2,-5,-26,-3
-26,-3,1,-5,-28,-2
-28,-2,0,0,-30,-2
-30,-2,1,-5,-31,-1
-31,-1,1,-5,-31,0
-31,0,1,-5,-30,1
-30,1,2,-5,-30,0
-30,0,2,-5,-31,-1
-31,-1,1,-5,-31,0
-31,0,1,-5,-30,1
-30,1,0,0,-29,1
30,3,2,-5,32,2
32,2,2,-5,33,1
33,1,1,-5,35,2
35,2,2,-5,36,1
36,1,2,-5,36,0
36,0,1,-5,37,1
37,1,0,0,38,1
38,1,1,-5,40,2
40,2,0,0,42,2
42,2,1,-5,45,3
45,3,1,-5,49,4
49,4,2,-5,52,3
52,3,2,-5,54,2
54,2,1,-5,57,3
57,3,1,-5,61,4
61,4,2,-5,64,3
64,3,0,0,67,3
67,3,2,-5,69,2
69,2,0,0,71,2
71,2,2,-5,72,1
72,1,2,-5,72,0
72,0,0,0,0,0
-44,-3,0,0,-47,-3
-47,-3,0,0,-50,-3
-50,-3,1,-5,-52,-2
-52,-2,0,0,-54,-2
-54,-2,0,0,-56,-2
-56,-2,1,-5,-57,-1
-57,-1,1,-5,-57,0
-57,0,1,-5,-56,1
-56,1,1,-5,-54,2
-54,2,2,-5,-53,1
-53,1,2,-5,-53,0
-53,0,1,-5,-52,1
-52,1,1,-5,-50,2
-50,2,2,-5,-49,1
-49,1,0,0,-48,1
-48,1,1,-5,-46,2
-46,2,2,-5,-45,1
-45,1,2,-5,-45,0
-45,0,1,-5,-44,1
-44,1,1,-5,-42,2
-42,2,2,-5,-41,1
-41,1,0,0,-40,1
-40,1,0,0,-39,1
-39,1,2,-5,-39,0
-39,0,1,-5,-38,1
-38,1,1,-5,-36,2
-36,2,0,0,-34,2
-34,2,1,-5,-31,3
-31,3,0,0,-28,3
-28,3,2,-5,-26,2
-26,2,1,-5,-23,3
-23,3,0,0,-20,3
-20,3,2,-5,-18,2
-18,2,1,-5,-15,3
-15,3,1,-5,-11,4
-11,4,0,0,-7,4
-7,4,2,-5,-4,3
-4,3,2,-5,-2,2
-2,2,0,0,0,2
0,2,0,0,2,2
2,2,2,-5,3,1
3,1,1,-5,5,2
5,2,0,0,7,2
7,2,2,-5,8,1
8,1,2,-5,8,0
8,0,2,-5,7,-1
7,-1,1,-5,7,0
7,0,0,0,0,0
38,-1,1,-5,38,0
38,0,2,-5,37,-1
37,-1,2,-5,35,-2
35,-2,0,0,33,-2
33,-2,2,-5,30,-3
30,-3,0,0,27,-3
27,-3,1,-5,25,-2
25,-2,2,-5,22,-3
22,-3,2,-5,18,-4
18,-4,2,-5,13,-5
13,-5,2,-5,7,-6
7,-6,1,-5,2,-5
2,-5,1,-5,-2,-4
-2,-4,2,-5,-7,-5
-7,-5,2,-5,-13,-6
-13,-6,1,-5,-18,-5
-18,-5,2,-5,-24,-6
-24,-6,2,-5,-31,-7
-31,-7,0,0,-38,-7
-38,-7,0,0,-45,-7
-45,-7,1,-5,-51,-6
-51,-6,0,0,-57,-6
-57,-6,1,-5,-62,-5
-62,-5,2,-5,-68,-6
-68,-6,1,-5,-73,-5
-73,-5,2,-5,-79,-6
-79,-6,1,-5,-84,-5
-84,-5,1,-5,-88,-4
-88,-4,1,-5,-91,-3
-91,-3,1,-5,-93,-2
-93,-2,0,0,-95,-2
-95,-2,2,-5,-98,-3
-98,-3,2,-5,-102,-4
-102,-4,2,-5,-107,-5
-107,-5,1,-5,-111,-4
-111,-4,1,-5,-114,-3
-114,-3,2,-5,-118,-4
-118,-4,1,-5,-121,-3
-121,-3,0,0,-124,-3
-124,-3,0,0,-127,-3
-127,-3,0,0,-130,-3
-130,-3,1,-5,-132,-2
-132,-2,2,-5,-135,-3
-135,-3,1,-5,-137,-2
-137,-2,1,-5,-138,-1
-138,-1,2,-5,-140,-2
-140,-2,2,-5,-143,-3
-143,-3,2,-5,-147,-4
-147,-4,0,0,-151,-4
-151,-4,2,-5,-156,-5
-156,-5,0,0,-161,-5
-161,-5,1,-5,-165,-4
-165,-4,0,0,-169,-4
-169,-4,1,-5,-172,-3
-172,-3,0,0,-175,-3
-175,-3,0,0,-178,-3
-178,-3,0,0,-181,-3
-181,-3,0,0,-184,-3
-184,-3,0,0,-187,-3
-187,-3,1,-5,0,0
-31,3,2,-5,-29,2
-29,2,2,-5,-28,1
-28,1,1,-5,-26,2
-26,2,1,-5,-23,3
-23,3,2,-5,-21,2
-21,2,0,0,-19,2
-19,2,2,-5,-18,1
-18,1,0,0,-17,1
-17,1,1,-5,-15,2
-15,2,0,0,-13,2
-13,2,2,-5,0,0
64,-2,0,0,62,-2
62,-2,1,-5,61,-1
61,-1,1,-5,61,0
61,0,2,-5,60,-1
60,-1,2,-5,58,-2
58,-2,2,-5,55,-3
55,-3,2,-5,51,-4
51,-4,1,-5,48,-3
48,-3,0,0,45,-3
45,-3,1,-5,43,-2
43,-2,2,-5,40,-3
40,-3,1,-5,38,-2
38,-2,2,-5,35,-3
35,-3,1,-5,33,-2
33,-2,1,-5,32,-1
32,-1,0,0,31,-1
31,-1,0,0,30,-1
30,-1,2,-5,28,-2
28,-2,0,0,26,-2
26,-2,0,0,24,-2
24,-2,1,-5,23,-1
23,-1,1,-5,23,0
23,0,1,-5,24,1
24,1,0,0,25,1
25,1,2,-5,25,0
25,0,2,-5,24,-1
24,-1,1,-5,24,0
24,0,0,0,24,0
24,0,2,-5,23,-1
23,-1,1,-5,23,0
23,0,0,0,23,0
23,0,1,-5,24,1
24,1,1,-5,26,2
26,2,2,-5,27,1
27,1,1,-5,29,2
29,2,2,-5,30,1
30,1,2,-5,30,0
30,0,2,-5,29,-1
29,-1,0,0,28,-1
28,-1,0,0,27,-1
27,-1,1,-5,27,0
27,0,2,-5,26,-1
26,-1,2,-5,24,-2
24,-2,0,0,22,-2
22,-2,2,-5,19,-3
19,-3,2,-5,15,-4
15,-4,1,-5,12,-3
12,-3,2,-5,8,-4
8,-4,0,0,4,-4
4,-4,1,-5,1,-3
1,-3,1,-5,-1,-2
-1,-2,2,-5,-4,-3
-4,-3,1,-5,-6,-2
-6,-2,0,0,-8,-2
-8,-2,2,-5,-11,-3
-11,-3,2,-5,-15,-4
-15,-4,1,-5,-18,-3
-18,-3,0,0,-21,-3
-21,-3,1,-5,-23,-2
-23,-2,2,-5,-26,-3
45,2,2,-5,46,1
46,1,0,0,47,1
47,1,1,-5,49,2
49,2,1,-5,52,3
52,3,0,0,55,3
55,3,0,0,58,3
58,3,0,0,61,3
61,3,2,-5,63,2
63,2,2,-5,64,1
64,1,0,0,65,1
65,1,0,0,66,1
66,1,1,-5,68,2
68,2,1,-5,71,3
71,3,2,-5,73,2
73,2,0,0,75,2
75,2,0,0,77,2
77,2,0,0,0,0
-57,2,1,-5,-54,3
-54,3,0,0,-51,3
-51,3,1,-5,-47,4
-47,4,1,-5,-42,5
-42,5,1,-5,-36,6
-36,6,2,-5,-31,5
-31,5,0,0,-26,5
-26,5,1,-5,-20,6
-20,6,2,-5,-15,5
-15,5,0,0,-10,5
-10,5,2,-5,-6,4
-6,4,1,-5,-1,5
-1,5,1,-5,5,6
5,6,2,-5,10,5
10,5,0,0,15,5
15,5,2,-5,19,4
19,4,0,0,23,4
23,4,2,-5,26,3
26,3,2,-5,28,2
28,2,2,-5,29,1
29,1,0,0,30,1
30,1,1,-5,32,2
32,2,2,-5,33,1
33,1,2,-5,33,0
33,0,2,-5,32,-1
32,-1,1,-5,32,0
32,0,1,-5,33,1
33,1,1,-5,35,2
35,2,1,-5,38,3
38,3,2,-5,40,2
40,2,1,-5,43,3
43,3,1,-5,47,4
47,4,0,0,51,4
51,4,0,0,55,4
55,4,2,-5,58,3
58,3,2,-5,60,2
60,2,2,-5,61,1
61,1,2,-5,61,0
61,0,2,-5,60,-1
60,-1,2,-5,58,-2
58,-2,0,0,56,-2
56,-2,1,-5,55,-1
55,-1,1,-5,55,0
55,0,1,-5,56,1
56,1,1,-5,58,2
58,2,1,-5,61,3
61,3,0,0,64,3
64,3,1,-5,68,4
68,4,1,-5,73,5
73,5,1,-5,79,6
79,6,0,0,85,6
85,6,0,0,91,6
91,6,1,-5,98,7
98,7,0,0,105,7
105,7,1,-5,113,8
113,8,1,-5,122,9
122,9,1,-5,132,10
132,10,1,-5,0,0
-136,-3,1,-5,-138,-2
-138,-2,1,-5,-139,-1
-139,-1,1,-5,-139,0
-139,0,2,-5,-140,-1
-140,-1,2,-5,-142,-2
-142,-2,2,-5,-145,-3
-145,-3,0,0,-148,-3
-148,-3,2,-5,-152,-4
-152,-4,1,-5,-155,-3
-155,-3,0,0,-158,-3
-158,-3,0,0,-161,-3
-161,-3,2,-5,-165,-4
-165,-4,0,0,-169,-4
-169,-4,0,0,-173,-4
-173,-4,0,0,-177,-4
-177,-4,2,-5,-182,-5
-182,-5,2,-5,-188,-6
-188,-6,1,-5,-193,-5
-193,-5,2,-5,0,0
-117,3,1,-5,-113,4
-113,4,1,-5,-108,5
-108,5,2,-5,-104,4
-104,4,0,0,-100,4
-100,4,0,0,-96,4
-96,4,1,-5,-91,5
-91,5,2,-5,-87,4
-87,4,1,-5,-82,5
-82,5,2,-5,-78,4
-78,4,1,-5,-73,5
-73,5,1,-5,-67,6
-67,6,0,0,-61,6
-61,6,0,0,-55,6
-55,6,1,-5,-48,7
-48,7,0,0,-41,7
-41,7,1,-5,-33,8
-33,8,2,-5,-26,7
-26,7,2,-5,-20,6
-20,6,2,-5,-15,5
-15,5,1,-5,-9,6
-9,6,2,-5,-4,5
-4,5,1,-5,2,6
2,6,2,-5,7,5
7,5,2,-5,11,4
11,4,1,-5,16,5
16,5,2,-5,20,4
20,4,0,0,24,4
24,4,1,-5,29,5
29,5,2,-5,33,4
33,4,0,0,37,4
37,4,2,-5,40,3
40,3,0,0,43,3
43,3,0,0,46,3
46,3,0,0,49,3
49,3,1,-5,53,4
53,4,1,-5,58,5
58,5,1,-5,64,6
64,6,1,-5,71,7
71,7,0,0,78,7
78,7,1,-5,86,8
86,8,1,-5,95,9
95,9,0,0,104,9
104,9,0,0,113,9
113,9,0,0,122,9
122,9,0,0,131,9
131,9,2,-5,139,8
139,8,0,0,147,8
147,8,2,-5,154,7
154,7,2,-5,160,6
160,6,2,-5,165,5
165,5,0,0,170,5
170,5,1,-5,0,0
25,3,0,0,28,3
28,3,0,0,31,3
31,3,2,-5,33,2
33,2,0,0,35,2
35,2,2,-5,36,1
36,1,1,-5,38,2
38,2,2,-5,39,1
39,1,1,-5,41,2
41,2,0,0,43,2
43,2,1,-5,46,3
46,3,1,-5,50,4
50,4,1,-5,55,5
55,5,1,-5,0,0
45,1,1,-5,47,2
47,2,2,-5,48,1
48,1,0,0,49,1
49,1,1,-5,51,2
51,2,1,-5,54,3
54,3,1,-5,58,4
58,4,0,0,62,4
62,4,1,-5,67,5
67,5,2,-5,71,4
71,4,1,-5,76,5
76,5,1,-5,82,6
82,6,1,-5,89,7
89,7,0,0,96,7
96,7,0,0,103,7
103,7,1,-5,111,8
111,8,1,-5,120,9
120,9,2,-5,128,8
128,8,1,-5,137,9
137,9,2,-5,145,8
145,8,0,0,0,0
42,-3,1,-5,40,-2
40,-2,1,-5,0,0
8,-1,1,-5,8,0
8,0,2,-5,7,-1
7,-1,2,-5,5,-2
5,-2,1,-5,4,-1
4,-1,1,-5,4,0
4,0,1,-5,5,1
5,1,0,0,6,1
6,1,0,0,0,0
-8,2,2,-5,-7,1
-7,1,1,-5,-5,2
-5,2,2,-5,-4,1
-4,1,1,-5,-2,2
-2,2,0,0,0,2
0,2,1,-5,3,3
3,3,0,0,6,3
6,3,0,0,9,3
9,3,1,-5,13,4
13,4,1,-5,18,5
18,5,2,-5,22,4
22,4,2,-5,25,3
25,3,2,-5,27,2
27,2,0,0,29,2
29,2,0,0,31,2
31,2,0,0,33,2
33,2,1,-5,0,0
90,3,1,-5,94,4
94,4,2,-5,97,3
97,3,2,-5,99,2
99,2,1,-5,102,3
102,3,2,-5,104,2
104,2,2,-5,105,1
105,1,2,-5,105,0
105,0,1,-5,106,1
106,1,1,-5,108,2
108,2,0,0,110,2
110,2,0,0,112,2
112,2,1,-5,0,0
1,-1,0,0,0,-1
0,-1,1,-5,0,0
0,0,2,-5,-1,-1
-1,-1,2,-5,-3,-2
-3,-2,0,0,-5,-2
-5,-2,2,-5,-8,-3
-8,-3,2,-5,-12,-4
-12,-4,2,-5,-17,-5
-17,-5,0,0,-22,-5
-22,-5,0,0,-27,-5
-27,-5,2,-5,-33,-6
-33,-6,0,0,-39,-6
-39,-6,0,0,-45,-6
-45,-6,1,-5,-50,-5
-50,-5,0,0,-55,-5
-55,-5,1,-5,-59,-4
-59,-4,2,-5,-64,-5
-64,-5,1,-5,-68,-4
-68,-4,0,0,-72,-4
-72,-4,0,0,0,0
-125,2,2,-5,-124,1
-124,1,0,0,-123,1
-123,1,1,-5,-121,2
-121,2,0,0,-119,2
-119,2,2,-5,0,0
-107,4,1,-5,-102,5
-102,5,2,-5,-98,4
-98,4,1,-5,-93,5
-93,5,2,-5,-89,4
-89,4,1,-5,-84,5
-84,5,0,0,-79,5
-79,5,0,0,-74,5
-74,5,1,-5,-68,6
-68,6,2,-5,-63,5
-63,5,2,-5,-59,4
-59,4,0,0,-55,4
-55,4,2,-5,-52,3
-52,3,2,-5,-50,2
-50,2,0,0,-48,2
-48,2,1,-5,-45,3
-45,3,0,0,-42,3
-42,3,0,0,-39,3
-39,3,2,-5,-37,2
-37,2,0,0,-35,2
-35,2,1,-5,-32,3
-32,3,1,-5,-28,4
-28,4,0,0,-24,4
-24,4,2,-5,-21,3
-21,3,1,-5,-17,4
-17,4,2,-5,-14,3
-14,3,2,-5,0,0
172,1,1,-5,174,2
174,2,1,-5,177,3
177,3,2,-5,179,2
179,2,0,0,181,2
181,2,0,0,183,2
183,2,1,-5,186,3
186,3,2,-5,188,2
188,2,1,-5,191,3
191,3,1,-5,0,0
-36,3,0,0,-33,3
-33,3,2,-5,-31,2
-31,2,0,0,-29,2
-29,2,0,0,-27,2
-27,2,0,0,-25,2
-25,2,1,-5,-22,3
-22,3,0,0,-19,3
-19,3,2,-5,-17,2
-17,2,0,0,-15,2
-15,2,0,0,-13,2
-13,2,1,-5,-10,3
-10,3,1,-5,-6,4
-6,4,1,-5,-1,5
-1,5,0,0,4,5
4,5,0,0,9,5
9,5,1,-5,15,6
15,6,2,-5,20,5
20,5,2,-5,24,4
24,4,2,-5,27,3
27,3,0,0,30,3
30,3,2,-5,32,2
32,2,2,-5,33,1
33,1,0,0,34,1
34,1,1,-5,0,0
-151,0,2,-5,-152,-1
-152,-1,1,-5,-152,0
-152,0,1,-5,-151,1
-151,1,2,-5,-151,0
-151,0,1,-5,-150,1
-150,1,2,-5,-150,0
-150,0,0,0,-150,0
-150,0,2,-5,-151,-1
-151,-1,1,-5,-151,0
-151,0,0,0,-151,0
-151,0,1,-5,-150,1
-150,1,0,0,-149,1
-149,1,2,-5,-149,0
-149,0,1,-5,-148,1
-148,1,2,-5,-148,0
-148,0,2,-5,-149,-1
-149,-1,1,-5,-149,0
-149,0,1,-5,-148,1
-148,1,0,0,-147,1
-147,1,0,0,-146,1
-146,1,2,-5,-146,0
-146,0,1,-5,-145,1
-145,1,0,0,-144,1
-144,1,2,-5,-144,0
-144,0,2,-5,-145,-1
-145,-1,1,-5,-145,0
-145,0,2,-5,-146,-1
-146,-1,2,-5,-148,-2
-148,-2,1,-5,-149,-1
-149,-1,2,-5,-151,-2
-151,-2,0,0,-153,-2
-153,-2,2,-5,-156,-3
-156,-3,2,-5,0,0
67,-1,2,-5,65,-2
65,-2,0,0,63,-2
63,-2,2,-5,60,-3
60,-3,2,-5,56,-4
56,-4,2,-5,51,-5
51,-5,2,-5,45,-6
45,-6,1,-5,40,-5
40,-5,0,0,35,-5
35,-5,2,-5,29,-6
29,-6,2,-5,22,-7
22,-7,0,0,15,-7
15,-7,1,-5,9,-6
9,-6,0,0,3,-6
3,-6,0,0,-3,-6
-3,-6,1,-5,-8,-5
-8,-5,2,-5,-14,-6
-14,-6,1,-5,-19,-5
-19,-5,0,0,-24,-5
-24,-5,0,0,-29,-5
-29,-5,0,0,-34,-5
-34,-5,1,-5,-38,-4
-38,-4,2,-5,-43,-5
-43,-5,1,-5,-47,-4
-47,-4,0,0,-51,-4
-51,-4,2,-5,-56,-5
-56,-5,2,-5,-62,-6
-62,-6,2,-5,-69,-7
-69,-7,2,-5,-77,-8
-77,-8,1,-5,-84,-7
-84,-7,1,-5,-90,-6
-90,-6,0,0,-96,-6
-96,-6,1,-5,-101,-5
-101,-5,2,-5,-107,-6
-107,-6,0,0,-113,-6
-113,-6,0,0,-119,-6
-119,-6,1,-5,-124,-5
-124,-5,1,-5,0,0
