s,a,r,sp
1564,2,-2,1431
1431,0,0,1299
1299,2,-2,1133
1133,0,0,968
968,0,0,803
803,0,0,638
638,0,0,473
473,0,0,308
308,0,0,143
143,1,-2,0
1107,1,-2,1207
1207,0,0,1306
1306,1,-2,1439
1439,1,-2,1605
1605,2,-2,1736
1736,0,0,1868
1868,1,-2,2034
2034,2,-2,2165
2165,0,0,2297
2297,1,-2,0
938,0,0,872
872,1,-2,840
840,2,-2,773
773,2,-2,673
673,0,0,0
1306,1,-2,1439
1439,1,-2,1605
1605,1,-2,1804
1804,1,-2,2036
2036,0,0,2267
2267,0,0,2498
2498,1,-2,0
1366,0,0,1267
1267,2,-2,1134
1134,0,0,1002
1002,1,-2,904
904,0,0,805
805,0,0,706
706,1,-2,641
641,2,-2,0
937,1,-2,872
872,0,0,806
806,1,-2,0
1402,2,-2,1368
1368,2,-2,1301
1301,2,-2,1201
1201,0,0,1102
1102,1,-2,1037
1037,2,-2,937
937,1,-2,872
872,0,0,806
806,0,0,740
740,1,-2,0
1303,0,0,1303
1303,1,-2,1337
1337,1,-2,1404
1404,0,0,1470
1470,1,-2,1570
1570,2,-2,1635
1635,0,0,1701
1701,1,-2,1801
1801,0,0,1900
1900,2,-2,0
1566,1,-2,1567
1567,0,0,1567
1567,0,0,1567
1567,1,-2,1601
1601,0,0,1634
1634,2,-2,1633
1633,0,0,1633
1633,0,0,1633
1633,2,-2,1599
1599,0,0,1566
1566,2,-2,1499
1499,0,0,1433
1433,2,-2,1333
1333,2,-2,1200
1200,2,-2,1034
1034,0,0,869
869,1,-2,738
738,0,0,606
606,0,0,474
474,1,-2,376
1366,0,0,1267
1267,0,0,1168
1168,2,-2,1035
1035,2,-2,869
869,0,0,704
704,1,-2,573
573,1,-2,475
475,2,-2,0
1206,1,-2,1306
1306,1,-2,1439
1439,0,0,1571
1571,0,0,1703
1703,2,-2,1801
1801,0,0,1900
1900,0,0,1999
1999,0,0,2098
2098,1,-2,2231
2231,0,0,2363
2363,0,0,2495
2495,0,0,0
1636,0,0,1735
1735,0,0,1834
1834,0,0,1933
1933,0,0,0
1268,2,-2,1168
1168,0,0,1069
1069,1,-2,1004
1004,0,0,938
938,1,-2,906
906,2,-2,839
839,0,0,773
773,0,0,707
707,1,-2,675
675,1,-2,0
938,1,-2,906
906,0,0,873
873,2,-2,806
806,0,0,740
740,2,-2,0
1269,0,0,1236
1236,1,-2,1237
1237,0,0,1237
1237,2,-2,1203
1203,0,0,1170
1170,0,0,1137
1137,2,-2,1070
1070,1,-2,1038
1038,1,-2,1039
1039,0,0,1039
1039,0,0,1039
1039,2,-2,1005
1005,2,-2,938
938,0,0,872
872,1,-2,840
840,0,0,807
807,0,0,774
774,2,-2,707
1563,2,-2,1397
1397,0,0,1232
1232,0,0,1067
1067,0,0,902
902,2,-2,703
703,2,-2,471
471,1,-2,0
807,1,-2,808
808,1,-2,842
842,2,-2,841
841,0,0,841
841,0,0,0
1338,0,0,1404
1404,1,-2,1504
1504,1,-2,1637
1637,0,0,1769
1769,1,-2,1935
1935,2,-2,2066
2066,0,0,2198
2198,2,-2,2296
2296,1,-2,2429
2429,1,-2,0
1568,1,-2,1635
1635,1,-2,1735
1735,1,-2,1868
1868,1,-2,2034
2034,0,0,2199
2199,2,-2,2330
2330,1,-2,0
1434,0,0,1401
1401,2,-2,1334
1334,2,-2,1234
1234,1,-2,1169
1169,0,0,1103
1103,2,-2,1003
1003,2,-2,870
870,0,0,738
738,1,-2,640
640,1,-2,575
575,2,-2,475
475,0,0,376
376,0,0,0
1107,0,0,1173
1173,1,-2,1273
1273,1,-2,1406
1406,1,-2,1572
1572,1,-2,1771
1771,1,-2,2003
2003,2,-2,2200
2200,0,0,0
1632,0,0,1599
1599,1,-2,1600
1600,1,-2,1634
1634,2,-2,1633
1633,2,-2,1599
1599,1,-2,1600
1600,0,0,1600
1600,1,-2,1634
1634,0,0,1667
1667,1,-2,1734
1734,2,-2,1766
1766,2,-2,1765
1765,0,0,1765
1765,2,-2,1731
1731,1,-2,1732
1338,0,0,1404
1404,1,-2,1504
1504,2,-2,1569
1569,0,0,1635
1635,1,-2,1735
1735,0,0,1834
1834,0,0,1933
1933,0,0,2032
2032,0,0,2131
2131,0,0,0
1000,0,0,802
802,2,-2,0
1469,2,-2,1468
1468,0,0,1468
1468,0,0,1468
1468,2,-2,1434
1434,2,-2,1367
1367,0,0,1301
1301,2,-2,1201
1201,1,-2,1136
1136,0,0,0
1700,0,0,1733
1733,2,-2,1732
1732,1,-2,1766
1766,0,0,1799
1799,0,0,1832
1832,2,-2,1831
1831,1,-2,1865
1865,0,0,1898
1898,0,0,0
807,0,0,774
774,0,0,741
741,0,0,708
708,0,0,675
675,0,0,0
1501,0,0,1501
1501,0,0,1501
1501,1,-2,1535
1535,1,-2,1602
1602,0,0,1668
1668,0,0,1734
1734,0,0,1800
1800,2,-2,1832
1832,1,-2,1899
1899,2,-2,1931
1931,1,-2,1998
1998,2,-2,2030
2030,0,0,2063
1335,1,-2,1336
1336,1,-2,1370
1370,2,-2,1369
1369,0,0,1369
1369,2,-2,1335
1335,0,0,1302
1302,0,0,1269
1269,2,-2,1202
1202,0,0,1136
1136,2,-2,1036
1036,0,0,937
937,0,0,838
838,1,-2,773
1171,2,-2,1137
1137,0,0,1104
1104,2,-2,1037
1037,0,0,971
971,2,-2,871
871,2,-2,738
738,2,-2,572
572,2,-2,0
807,2,-2,740
740,0,0,674
674,0,0,608
608,2,-2,508
508,0,0,0
1138,0,0,1138
1138,0,0,1138
1138,0,0,1138
1138,0,0,1138
1138,0,0,1138
1138,2,-2,1104
1104,0,0,1071
1071,0,0,1038
1038,0,0,1005
1005,0,0,972
972,2,-2,905
905,1,-2,873
873,0,0,840
840,1,-2,841
841,1,-2,875
1308,1,-2,1507
1507,0,0,1705
1705,0,0,1903
1903,2,-2,2067
2067,1,-2,0
1497,1,-2,1399
1399,2,-2,1266
1266,1,-2,1168
1168,0,0,1069
1069,1,-2,1004
1004,1,-2,972
972,2,-2,0
1303,0,0,1303
1303,0,0,1303
1303,0,0,1303
1303,0,0,1303
1303,0,0,1303
1303,1,-2,1337
1337,1,-2,1404
1404,0,0,1470
1470,0,0,1536
1536,2,-2,1568
1568,1,-2,1635
1635,0,0,1701
1701,0,0,1767
1767,0,0,1833
1833,2,-2,1865
1865,0,0,1898
1898,0,0,1931
1931,1,-2,0
1040,0,0,1073
1073,2,-2,1072
1072,0,0,1072
1072,2,-2,1038
1038,0,0,1005
1005,2,-2,938
938,0,0,872
872,2,-2,772
772,1,-2,707
707,1,-2,0
1765,2,-2,1731
1731,0,0,1698
1698,1,-2,1699
1699,0,0,1699
1699,1,-2,1733
1733,2,-2,1732
1732,1,-2,1766
1766,0,0,1799
1799,0,0,1832
1832,0,0,1865
1865,1,-2,1932
1266,0,0,1134
1134,2,-2,968
968,0,0,803
803,1,-2,672
672,2,-2,0
1731,0,0,1698
1698,1,-2,1699
1699,1,-2,1733
1733,0,0,1766
1766,0,0,1799
1799,2,-2,1798
1798,0,0,1798
1798,2,-2,1764
1764,0,0,1731
1731,2,-2,1664
1664,0,0,1598
1598,1,-2,1566
1566,0,0,1533
1533,1,-2,1534
1534,0,0,1534
1534,0,0,1534
1534,2,-2,1500
1500,1,-2,1501
1501,0,0,1501
1501,0,0,1501
1597,2,-2,1464
1464,0,0,1332
1332,0,0,1200
1200,0,0,1068
1068,0,0,936
936,1,-2,838
838,2,-2,705
705,1,-2,607
607,1,-2,542
542,0,0,0
1067,1,-2,936
936,1,-2,838
838,0,0,0
1038,0,0,1005
1005,1,-2,1006
1006,1,-2,1040
1040,1,-2,1107
1107,2,-2,1139
1139,2,-2,1138
1138,0,0,1138
1138,0,0,1138
1138,0,0,1138
1138,0,0,1138
1138,0,0,1138
1138,2,-2,0
1040,2,-2,1039
1039,1,-2,1073
1073,2,-2,1072
1072,0,0,1072
1072,2,-2,1038
1038,0,0,1005
1005,1,-2,1006
1006,2,-2,972
972,2,-2,905
905,1,-2,873
873,0,0,840
840,0,0,807
1236,1,-2,1237
1237,0,0,1237
1237,0,0,1237
1237,2,-2,1203
1203,0,0,1170
1170,1,-2,1171
1171,2,-2,1137
1137,0,0,1104
1104,0,0,1071
1071,0,0,1038
1038,0,0,1005
1500,1,-2,1501
1501,0,0,1501
1501,0,0,1501
1501,1,-2,1535
1535,2,-2,1534
1534,0,0,1534
1534,2,-2,1500
1500,2,-2,1433
1433,2,-2,1333
1333,0,0,1234
1234,2,-2,1101
1101,2,-2,935
935,2,-2,736
736,1,-2,572
572,0,0,407
407,0,0,0
1169,2,-2,1069
1069,2,-2,936
936,0,0,804
804,0,0,672
672,0,0,540
540,1,-2,442
442,1,-2,377
377,0,0,0
1107,1,-2,1207
1207,0,0,1306
1306,2,-2,1371
1371,2,-2,1403
1403,2,-2,1402
1402,2,-2,1368
1368,0,0,1335
1335,1,-2,1336
1336,0,0,1336
1336,2,-2,1302
1302,0,0,1269
1269,0,0,1236
1236,0,0,0
1337,2,-2,1336
1336,1,-2,1370
1370,2,-2,1369
1369,2,-2,1335
1335,0,0,1302
1302,1,-2,1303
1303,2,-2,1269
1269,0,0,1236
1236,1,-2,1237
1237,2,-2,1203
1203,0,0,1170
1170,0,0,1137
1137,1,-2,1138
1138,0,0,1138
1138,0,0,0
1172,0,0,1205
1205,0,0,1238
1238,1,-2,1305
1305,1,-2,1405
1405,0,0,1504
1504,1,-2,1637
1637,2,-2,1735
1735,0,0,1834
1834,0,0,1933
1933,0,0,2032
2032,0,0,2131
2131,1,-2,0
1205,0,0,1238
1238,0,0,1271
1271,0,0,1304
1304,1,-2,1371
1371,0,0,1437
1437,1,-2,1537
1537,2,-2,1602
1602,1,-2,1702
1702,0,0,1801
1801,0,0,1900
1900,2,-2,1965
1965,2,-2,1997
1997,0,0,2030
811,0,0,910
910,0,0,1009
1009,2,-2,1074
1074,2,-2,1106
1106,1,-2,1173
1173,1,-2,1273
1273,2,-2,1338
1338,0,0,1404
1404,0,0,1470
1470,1,-2,1570
1570,0,0,1669
1669,0,0,0
1468,0,0,1468
1468,0,0,1468
1468,1,-2,1502
1502,0,0,1535
1535,0,0,1568
1568,0,0,1601
1601,0,0,1634
1634,0,0,1667
1667,0,0,1700
1700,0,0,1733
1733,0,0,1766
1766,0,0,1799
1799,0,0,1832
1832,0,0,1865
1865,0,0,1898
1898,0,0,1931
1931,0,0,1964
1964,0,0,1997
1997,0,0,2030
2030,0,0,2063
907,0,0,907
907,2,-2,873
873,2,-2,806
806,0,0,740
740,2,-2,640
640,1,-2,575
575,2,-2,475
475,0,0,376
376,0,0,277
277,0,0,0
746,2,-2,844
844,0,0,943
943,1,-2,1076
1076,0,0,1208
1208,0,0,1340
1340,1,-2,1506
1506,2,-2,1637
1637,0,0,1769
1769,0,0,1901
1901,2,-2,0
1533,2,-2,1466
1466,0,0,1400
1400,0,0,1334
1334,1,-2,1302
1302,2,-2,1235
1235,1,-2,1203
1203,1,-2,1204
1204,0,0,1204
1204,2,-2,1170
1170,2,-2,1103
1103,0,0,1037
1037,2,-2,937
937,0,0,838
838,1,-2,773
773,1,-2,741
741,1,-2,742
742,1,-2,776
776,1,-2,843
843,1,-2,943
943,1,-2,1076
1305,1,-2,1405
1405,0,0,1504
1504,2,-2,1569
1569,0,0,1635
1635,0,0,1701
1701,2,-2,1733
1733,0,0,1766
1766,2,-2,1765
1765,1,-2,1799
1799,1,-2,1866
1866,2,-2,0
1103,0,0,1037
1037,1,-2,1005
1005,0,0,972
972,0,0,939
939,1,-2,940
940,2,-2,906
906,0,0,0
1236,1,-2,1237
1237,1,-2,1271
1271,2,-2,1270
1270,2,-2,1236
1236,0,0,1203
1203,0,0,1170
1170,0,0,1137
1137,0,0,1104
1104,0,0,1071
1071,1,-2,1072
1072,1,-2,1106
1106,0,0,1139
1136,1,-2,1104
1104,1,-2,1105
1105,0,0,1105
1105,2,-2,1071
1071,1,-2,1072
1072,1,-2,1106
1106,0,0,1139
1139,0,0,0
1404,1,-2,1504
1504,0,0,1603
1603,0,0,1702
1702,2,-2,1767
1767,1,-2,1867
1867,0,0,1966
1966,2,-2,2031
2031,2,-2,2063
2063,0,0,0
974,1,-2,1041
1041,1,-2,1141
1141,2,-2,1206
1206,0,0,1272
1272,2,-2,1304
1304,2,-2,1303
1303,0,0,1303
1303,1,-2,1337
1337,1,-2,1404
1404,2,-2,1436
1436,0,0,1469
1469,0,0,1502
1502,1,-2,1569
1569,1,-2,1669
1669,2,-2,1734
1734,0,0,1800
1800,0,0,1866
1866,0,0,1932
1466,0,0,1400
1400,0,0,1334
1334,0,0,1268
1268,0,0,1202
1202,0,0,1136
1136,1,-2,1104
1104,2,-2,1037
1037,0,0,971
971,0,0,905
905,2,-2,805
805,1,-2,740
740,0,0,674
838,1,-2,773
773,2,-2,0
908,2,-2,907
907,0,0,907
907,0,0,907
907,1,-2,941
941,0,0,974
974,2,-2,973
973,2,-2,939
939,0,0,906
906,2,-2,839
839,2,-2,739
739,0,0,640
640,2,-2,0
1695,0,0,1563
1563,1,-2,1465
1465,2,-2,1332
1332,2,-2,1166
1166,1,-2,1035
1035,0,0,903
903,0,0,771
771,1,-2,0
1004,0,0,938
938,0,0,872
872,1,-2,840
840,0,0,807
807,0,0,774
774,0,0,0
1468,0,0,1468
1468,0,0,1468
1468,0,0,1468
1468,0,0,1468
1468,2,-2,1434
1434,0,0,1401
1401,2,-2,1334
1334,1,-2,1302
1302,2,-2,1235
1235,0,0,1169
1898,2,-2,1897
1897,0,0,1897
1897,0,0,0
1467,0,0,1434
1434,1,-2,1435
1435,0,0,1435
1435,1,-2,1469
1469,0,0,1502
1502,2,-2,1501
1501,0,0,1501
1501,2,-2,1467
1467,1,-2,1468
1468,0,0,1468
1468,2,-2,1434
1434,0,0,1401
1401,1,-2,1402
1402,0,0,1402
1402,0,0,1402
1402,2,-2,1368
1368,2,-2,1301
1301,0,-1000,0
1037,2,-2,937
937,2,-2,804
804,2,-2,638
638,1,-2,507
507,0,0,375
375,1,-2,0
1467,0,0,1434
1434,0,0,1401
1401,0,0,1368
1368,0,0,1335
1335,2,-2,1268
1268,0,0,1202
1202,2,-2,1102
1102,1,-2,1037
1037,0,0,971
971,1,-2,939
939,1,-2,940
940,0,0,940
940,2,-2,906
906,0,0,873
873,1,-2,874
874,0,0,874
874,2,-2,840
840,0,0,807
1369,2,-2,1335
1335,2,-2,1268
1268,2,-2,1168
1168,1,-2,1103
1103,0,0,1037
1037,1,-2,1005
1005,2,-2,938
938,1,-2,906
906,0,0,873
873,0,0,840
840,2,-2,773
1564,1,-2,1499
1499,2,-2,1399
1399,2,-2,1266
1266,0,0,1134
1134,2,-2,968
968,0,0,803
803,0,0,638
638,1,-2,507
507,0,0,375
375,0,0,0
1307,0,0,1439
1439,0,0,1571
1571,1,-2,1737
1737,0,0,1902
1902,0,0,2067
2067,0,0,0
1273,1,-2,1406
1406,2,-2,1504
1504,0,0,1603
1603,0,0,1702
1702,1,-2,1835
1835,0,0,1967
1967,2,-2,2065
2065,1,-2,0
1732,0,0,1732
1732,2,-2,1698
1698,2,-2,1631
1631,0,0,1565
1565,0,0,1499
1499,0,0,1433
1433,0,0,1367
1367,1,-2,1335
1335,1,-2,1336
1336,1,-2,1370
1370,1,-2,1437
1437,1,-2,1537
1436,0,0,1469
1469,0,0,1502
1502,0,0,1535
1535,0,0,1568
1568,0,0,1601
1601,2,-2,1600
1600,2,-2,1566
1566,2,-2,1499
1499,0,0,1433
1433,0,0,1367
1367,2,-2,1267
1108,1,-2,1241
1241,2,-2,1339
1339,1,-2,1472
1472,2,-2,1570
1570,1,-2,1703
1703,0,0,1835
1835,0,0,1967
1967,2,-2,2065
2065,2,-2,0
1463,0,0,1298
1298,0,0,1133
1133,2,-2,934
934,0,0,736
736,2,-2,0
1003,0,0,904
904,0,0,805
805,0,0,706
706,0,0,0
676,2,-2,642
642,1,-2,643
643,1,-2,677
677,2,-2,676
676,1,-2,710
710,1,-2,777
777,2,-2,809
809,2,-2,808
808,2,-2,774
774,0,0,741
741,0,0,708
708,0,0,675
675,0,0,642
642,0,0,609
975,2,-2,1007
1007,1,-2,1074
1074,0,0,1140
1140,2,-2,1172
1172,2,-2,1171
1171,2,-2,1137
1137,0,0,1104
1104,0,0,1071
1071,0,0,1038
1038,2,-2,971
971,1,-2,0
977,0,0,1109
1109,0,0,1241
1241,2,-2,1339
1339,0,0,1438
1438,1,-2,1571
1571,1,-2,1737
1737,0,0,1902
1902,1,-2,0
1204,0,0,1204
1204,0,0,1204
1204,2,-2,1170
1170,2,-2,1103
1103,1,-2,1071
1071,1,-2,1072
1072,0,0,1072
1072,1,-2,1106
1106,2,-2,1105
1105,0,0,1105
1105,2,-2,1071
1071,0,0,1038
1038,0,0,1005
1005,0,0,972
972,0,0,939
939,2,-2,872
1039,0,0,1039
1039,0,0,1039
1039,2,-2,1005
1005,1,-2,1006
1006,0,0,1006
1006,2,-2,972
972,0,0,939
939,2,-2,872
872,1,-2,840
840,0,0,807
807,1,-2,808
808,0,0,808
808,1,-2,842
842,0,0,875
875,2,-2,874
874,0,0,874
874,0,0,874
874,0,0,874
874,0,0,874
874,0,0,874
1703,0,0,1835
1835,0,0,1967
1967,0,0,0
1303,2,-2,1269
1269,0,0,1236
1236,2,-2,1169
1169,1,-2,1137
1137,1,-2,1138
1138,0,0,1138
1138,2,-2,1104
1104,0,0,1071
1071,2,-2,1004
1004,1,-2,972
972,2,-2,905
905,0,0,839
839,2,-2,739
739,1,-2,674
1697,0,0,1631
1631,2,-2,1531
1531,0,0,1432
1432,0,0,1333
1333,0,0,1234
1234,1,-2,1169
1169,0,0,1103
1103,0,0,1037
1037,0,0,971
971,2,-2,871
1600,0,0,1600
1600,1,-2,1634
1634,0,0,1667
1667,1,-2,1734
1734,0,0,1800
1800,0,0,1866
1866,0,0,1932
1932,2,-2,1964
1964,0,0,1997
1997,1,-2,2064
2064,0,0,2130
2130,0,0,2196
2196,0,0,0
1631,0,0,1565
1565,2,-2,1465
1465,2,-2,1332
1332,2,-2,1166
1166,1,-2,1035
1035,0,0,903
903,0,0,771
771,1,-2,673
673,1,-2,608
608,0,0,542
542,1,-2,510
510,0,0,477
477,0,0,444
444,0,0,411
411,0,0,0
1036,0,0,937
937,2,-2,804
804,2,-2,638
638,1,-2,0
1565,2,-2,1465
1465,0,0,1366
1366,2,-2,1233
1233,0,0,1101
1101,0,0,969
969,0,0,837
837,0,0,705
705,0,0,573
573,1,-2,475
475,0,0,376
376,2,-2,243
243,1,-2,145
145,0,0,46
46,0,0,0
973,1,-2,1007
1007,0,0,1040
1040,0,0,1073
1073,0,0,1106
1106,2,-2,1105
1105,0,0,1105
1105,0,0,1105
1105,2,-2,1071
1071,0,0,1038
1038,0,0,1005
1005,1,-2,1006
1006,2,-2,972
972,1,-2,973
973,1,-2,1007
1865,0,0,1898
1898,2,-2,1897
1897,0,0,1897
1897,2,-2,0
1299,0,0,1167
1167,0,0,1035
1035,2,-2,869
869,0,0,704
704,2,-2,0
1698,0,0,1665
1665,1,-2,1666
1666,0,0,1666
1666,0,0,1666
1666,2,-2,1632
1632,0,0,1599
1599,0,0,1566
1566,0,0,1533
1533,0,0,1500
1500,0,0,1467
1467,0,0,1434
1764,0,0,1731
1731,1,-2,1732
1732,0,0,1732
1732,2,-2,1698
1698,1,-2,1699
1699,2,-2,1665
1665,2,-2,1598
1598,1,-2,1566
1566,0,0,1533
1533,0,0,1500
1500,1,-2,1501
1501,2,-2,1467
1204,1,-2,1238
1238,2,-2,1237
1237,1,-2,1271
1271,0,0,1304
1304,2,-2,1303
1303,2,-2,1269
1269,1,-2,1270
1270,0,0,1270
1270,0,0,1270
1270,1,-2,1304
1304,0,0,1337
1337,0,0,1370
1370,1,-2,1437
1437,0,0,1503
1503,0,0,1569
1569,2,-2,1601
1601,1,-2,1668
1600,1,-2,1634
1634,0,0,1667
1667,0,0,1700
1700,0,0,1733
1733,0,0,1766
1766,0,0,1799
1799,0,0,1832
1832,0,0,1865
1865,1,-2,1932
1932,0,0,1998
1998,0,0,2064
2064,0,0,2130
2130,2,-2,2162
2162,0,0,2195
2195,1,-2,0
1531,2,-2,1398
1398,0,0,1266
1266,0,0,1134
1134,0,0,1002
1002,2,-2,836
836,0,0,671
671,0,0,506
506,0,0,341
341,0,0,0
